id,age,gender,marital_status,occupation,monthly_income,educational_qualifications,family_size,latitude,longitude,pin_code,output,feedback
113,32,Female,Married,Employee,More than 50000,Graduate,1,13.0019,77.5713,560003,No,Positive
114,23,Male,Single,Student,No Income,Post Graduate,2,13.0019,77.5713,560003,Yes,Positive
115,19,Male,Single,Student,No Income,Graduate,2,13.0019,77.5713,560003,No,Negative 
116,19,Female,Single,Student,No Income,Graduate,4,12.9537,77.6176,560047,Yes,Positive
117,27,Female,Married,Employee,25001 to 50000,Post Graduate,2,12.9698,77.75,560066,No,Positive
118,25,Male,Single,Self Employeed,25001 to 50000,Graduate,3,12.998,77.6227,560005,Yes,Positive
119,33,Male,Married,Employee,More than 50000,Ph.D,5,12.998,77.6227,560005,No,Negative 
120,26,Female,Single,Employee,More than 50000,Graduate,3,12.998,77.6227,560005,Yes,Positive
121,22,Female,Single,Student,Below Rs.10000,Post Graduate,4,12.9343,77.6044,560029,Yes,Positive
122,23,Male,Single,Student,No Income,Post Graduate,3,13.102,77.5864,560064,No,Positive
123,22,Female,Single,Student,No Income,Graduate,3,13.0158,77.539,560096,Yes,Negative 
124,25,Male,Married,Employee,25001 to 50000,Graduate,2,12.998,77.6227,560005,Yes,Positive
125,30,Female,Married,House wife,No Income,School,5,12.998,77.6227,560005,Yes,Positive
126,24,Male,Single,Student,No Income,Post Graduate,3,13.0138,77.5877,560006,No,Negative 
127,25,Male,Single,Employee,10001 to 25000,Post Graduate,3,13.0138,77.5877,560006,Yes,Positive
128,23,Male,Single,Student,More than 50000,Post Graduate,3,12.977,77.5773,560009,Yes,Positive
129,24,Female,Single,Student,No Income,Post Graduate,4,13.0496,77.4941,560073,Yes,Positive
130,32,Male,Married,Employee,10001 to 25000,Graduate,4,12.9783,77.6408,560038,Yes,Positive
131,22,Male,Single,Student,No Income,Post Graduate,4,12.9889,77.5741,560020,Yes,Positive
132,20,Male,Single,Student,No Income,Graduate,2,12.9579,77.6309,560007,Yes,Positive
133,21,Male,Single,Student,No Income,Graduate,2,12.9579,77.6309,560007,Yes,Positive
134,24,Female,Married,Self Employeed,10001 to 25000,Graduate,5,12.9579,77.6309,560007,Yes,Positive
135,25,Male,Single,Employee,25001 to 50000,Post Graduate,3,12.985,77.5533,560010,Yes,Positive
136,32,Female,Married,House wife,No Income,Graduate,3,12.985,77.5533,560010,Yes,Positive
137,27,Male,Married,Employee,More than 50000,Ph.D,5,12.985,77.5533,560010,No,Negative 
138,20,Female,Single,Student,No Income,Graduate,2,12.9337,77.59,560011,Yes,Positive
139,21,Male,Single,Student,No Income,Graduate,2,12.9337,77.59,560011,Yes,Positive
140,26,Male,Single,Employee,More than 50000,Post Graduate,3,12.9337,77.59,560011,No,Negative 
141,25,Male,Single,Employee,10001 to 25000,Graduate,4,13.0166,77.6804,560016,Yes,Positive
142,26,Male,Single,Employee,25001 to 50000,Post Graduate,3,13.014,77.5658,560012,Yes,Positive
143,26,Female,Married,Employee,25001 to 50000,Graduate,3,13.014,77.5658,560012,Yes,Positive
144,27,Male,Single,Employee,More than 50000,Ph.D,4,13.0503,77.5529,560013,No,Positive
145,27,Female,Single,Student,No Income,Ph.D,5,13.0503,77.5529,560013,No,Negative 
146,24,Female,Single,Student,No Income,Post Graduate,5,12.9883,77.5987,560051,Yes,Positive
147,25,Male,Married,Self Employeed,More than 50000,School,2,13.0626,77.5284,560015,Yes,Positive
148,20,Male,Single,Student,No Income,Graduate,2,13.0626,77.5284,560015,No,Negative 
149,22,Male,Single,Student,No Income,Post Graduate,1,13.0626,77.5284,560015,Yes,Positive
150,26,Female,Married,Student,Below Rs.10000,Ph.D,3,13.0166,77.6804,560016,Yes,Positive
151,27,Male,Prefer not to say,Employee,25001 to 50000,Post Graduate,1,13.0166,77.6804,560016,Yes,Positive
152,25,Female,Single,Student,No Income,Post Graduate,3,12.9551,77.6593,560017,Yes,Positive
153,24,Male,Single,Employee,Below Rs.10000,Graduate,2,12.9551,77.6593,560017,Yes,Positive
154,23,Female,Single,Employee,10001 to 25000,Graduate,6,12.9551,77.6593,560017,Yes,Positive
155,22,Male,Single,Student,No Income,Graduate,2,12.957,77.5637,560018,No,Positive
156,26,Male,Married,Self Employeed,More than 50000,Post Graduate,3,12.957,77.5637,560018,No,Negative 
157,26,Male,Single,Employee,Below Rs.10000,Post Graduate,1,12.957,77.5637,560018,Yes,Negative 
158,25,Female,Married,Self Employeed,25001 to 50000,Post Graduate,3,12.957,77.5637,560018,No,Positive
159,29,Female,Married,Employee,More than 50000,Graduate,3,12.957,77.5637,560018,No,Positive
160,23,Male,Single,Student,Below Rs.10000,Graduate,3,12.8652,77.524,560109,Yes,Negative 
161,22,Female,Single,Employee,25001 to 50000,Graduate,4,12.9698,77.75,560066,Yes,Positive
162,22,Male,Single,Student,No Income,Graduate,2,12.9889,77.5741,560020,No,Positive
163,32,Female,Married,House wife,No Income,School,5,12.9889,77.5741,560020,Yes,Positive
164,28,Male,Married,Employee,More than 50000,Post Graduate,1,12.9925,77.5633,560021,Yes,Positive
165,25,Male,Single,Employee,10001 to 25000,Graduate,2,12.9757,77.5586,560023,Yes,Positive
166,26,Female,Married,Employee,25001 to 50000,Post Graduate,2,12.9757,77.5586,560023,No,Negative 
167,31,Male,Married,Self Employeed,More than 50000,School,6,13.0487,77.5923,560024,Yes,Positive
168,24,Male,Single,Student,No Income,Post Graduate,3,13.0487,77.5923,560024,No,Negative 
169,24,Male,Single,Employee,25001 to 50000,Post Graduate,2,12.9662,77.6068,560025,Yes,Positive
170,31,Female,Married,Employee,More than 50000,Ph.D,5,12.9662,77.6068,560025,Yes,Positive
171,26,Male,Single,Employee,25001 to 50000,Graduate,2,12.9343,77.6044,560029,Yes,Positive
172,24,Female,Married,Self Employeed,More than 50000,Graduate,2,12.9343,77.6044,560029,Yes,Positive
173,22,Female,Single,Student,No Income,Graduate,3,12.9343,77.6044,560029,Yes,Positive
174,19,Male,Single,Student,No Income,Graduate,6,12.9442,77.6076,560030,Yes,Positive
175,25,Male,Married,Employee,More than 50000,Post Graduate,6,12.9442,77.6076,560030,Yes,Positive
176,23,Female,Married,House wife,No Income,School,6,12.9442,77.6076,560030,Yes,Positive
177,23,Female,Single,Student,No Income,Graduate,2,13.0298,77.6047,560032,No,Negative 
178,23,Male,Single,Student,No Income,Post Graduate,2,12.9261,77.6221,560034,Yes,Positive
179,24,Male,Single,Student,No Income,Post Graduate,5,12.9621,77.5376,560104,Yes,Positive
180,22,Female,Single,Employee,25001 to 50000,Graduate,4,12.8845,77.6036,560076,Yes,Positive
181,26,Male,Married,Employee,More than 50000,Graduate,4,12.9048,77.6821,560036,Yes,Positive
182,25,Female,Single,Student,No Income,Ph.D,3,12.9048,77.6821,560036,Yes,Positive
183,20,Male,Single,Student,No Income,Graduate,2,12.9261,77.6221,560034,Yes,Positive
184,29,Male,Married,Employee,25001 to 50000,Graduate,4,12.9261,77.6221,560034,No,Negative 
185,23,Female,Single,Student,No Income,Graduate,1,12.977,77.5773,560009,Yes,Positive
186,25,Male,Single,Self Employeed,More than 50000,Graduate,2,12.9783,77.6408,560038,Yes,Positive
187,29,Female,Married,Employee,25001 to 50000,Graduate,4,12.9783,77.6408,560038,No,Negative 
188,27,Male,Married,Self Employeed,25001 to 50000,Graduate,6,12.9217,77.5936,560041,No,Negative 
189,25,Male,Single,Self Employeed,10001 to 25000,Graduate,3,13.0206,77.6479,560043,Yes,Positive
190,21,Male,Single,Student,No Income,Graduate,2,13.0012,77.5995,560046,No,Negative 
191,23,Male,Single,Student,No Income,Graduate,3,13.0223,77.7132,560049,Yes,Positive
192,24,Female,Single,Employee,10001 to 25000,Post Graduate,4,12.9337,77.59,560011,Yes,Positive
193,32,Male,Married,Self Employeed,10001 to 25000,School,3,12.982,77.6256,560008,Yes,Negative 
194,28,Male,Married,Employee,25001 to 50000,Post Graduate,5,13.0262,77.62,560045,Yes,Positive
195,26,Male,Single,Employee,10001 to 25000,Graduate,2,12.9217,77.5936,560041,No,Negative 
196,31,Female,Married,House wife,No Income,Graduate,5,13.0078,77.5577,560055,Yes,Positive
197,27,Female,Married,Self Employeed,25001 to 50000,Graduate,3,13.0078,77.5577,560055,Yes,Positive
198,21,Female,Single,Student,No Income,Post Graduate,1,12.9217,77.5936,560041,Yes,Positive
199,23,Female,Single,Student,No Income,Graduate,2,12.9105,77.4842,560060,No,Positive
200,26,Male,Married,Employee,10001 to 25000,Graduate,4,12.9105,77.4842,560060,No,Positive
201,32,Male,Married,Employee,More than 50000,Graduate,5,12.9037,77.5376,560061,Yes,Positive
202,25,Female,Married,Student,No Income,Post Graduate,2,12.8834,77.5486,560062,Yes,Positive
203,28,Male,Single,Self Employeed,10001 to 25000,Post Graduate,2,12.9149,77.5635,560070,Yes,Positive
204,21,Female,Single,Student,No Income,Post Graduate,3,12.9149,77.5635,560070,Yes,Positive
205,24,Male,Single,Student,No Income,Post Graduate,2,12.9706,77.6529,560075,Yes,Positive
206,26,Female,Married,Self Employeed,10001 to 25000,Graduate,5,12.9706,77.6529,560075,No,Negative 
207,32,Male,Married,Employee,25001 to 50000,Graduate,3,12.9706,77.6529,560075,Yes,Positive
208,29,Male,Single,Self Employeed,More than 50000,Graduate,6,12.8845,77.6036,560076,Yes,Positive
209,21,Male,Single,Student,No Income,Graduate,5,12.9783,77.6408,560038,Yes,Positive
210,24,Female,Single,Self Employeed,25001 to 50000,Post Graduate,3,13.0103,77.5796,560080,No,Negative 
211,26,Male,Prefer not to say,Self Employeed,More than 50000,Post Graduate,2,13.0103,77.5796,560080,Yes,Positive
212,25,Male,Married,Employee,More than 50000,Ph.D,3,12.9306,77.5434,560085,Yes,Positive
213,29,Male,Single,Employee,25001 to 50000,Graduate,3,13.0641,77.5931,560092,No,Negative 
214,22,Male,Single,Student,No Income,Graduate,3,13.0158,77.539,560096,Yes,Positive
215,24,Male,Single,Student,No Income,Graduate,2,12.9561,77.5921,560027,Yes,Positive
216,27,Male,Married,Employee,25001 to 50000,Graduate,2,12.8845,77.6036,560076,Yes,Positive
217,23,Female,Single,Student,No Income,Post Graduate,3,12.9369,77.6407,560095,No,Positive
218,32,Male,Married,Employee,More than 50000,Post Graduate,6,12.9369,77.6407,560095,Yes,Positive
219,22,Female,Single,Student,No Income,Graduate,2,12.9369,77.6407,560095,Yes,Positive
220,28,Male,Married,Employee,25001 to 50000,Graduate,3,12.9369,77.6407,560095,Yes,Positive
221,23,Female,Single,Student,No Income,Post Graduate,2,13.0158,77.539,560096,Yes,Positive
222,30,Male,Married,Self Employeed,More than 50000,Graduate,1,13.0809,77.5565,560097,No,Negative 
223,21,Male,Single,Student,No Income,Graduate,3,13.0641,77.5931,560092,Yes,Positive
224,26,Female,Married,Employee,Below Rs.10000,Graduate,6,12.9859,77.6713,560093,No,Negative 
225,25,Male,Single,Self Employeed,More than 50000,School,3,12.9859,77.6713,560093,Yes,Positive
226,31,Male,Prefer not to say,Employee,Below Rs.10000,Graduate,1,12.9866,77.4904,560091,No,Negative 
227,23,Female,Single,Employee,25001 to 50000,Post Graduate,2,12.9847,77.5491,560100,Yes,Positive
228,29,Female,Married,Employee,25001 to 50000,Ph.D,3,12.9847,77.5491,560100,Yes,Positive
229,21,Male,Single,Student,No Income,Graduate,6,12.9847,77.5491,560100,Yes,Positive
230,20,Male,Single,Student,No Income,Graduate,3,12.9299,77.6848,560103,Yes,Positive
231,22,Male,Single,Employee,10001 to 25000,Graduate,2,12.9299,77.6848,560103,Yes,Positive
232,30,Female,Married,House wife,No Income,School,6,12.9828,77.6131,560042,No,Positive
233,27,Male,Married,Self Employeed,More than 50000,Graduate,3,12.989,77.5332,560079,Yes,Positive
234,23,Male,Single,Student,No Income,Post Graduate,2,12.977,77.5773,560009,No,Negative 
235,30,Male,Married,Self Employeed,25001 to 50000,School,6,12.9251,77.4992,560059,No,Negative 
236,23,Male,Single,Student,No Income,Post Graduate,3,12.9967,77.7582,560067,Yes,Positive
237,28,Female,Married,Employee,25001 to 50000,Post Graduate,6,12.9967,77.7582,560067,No,Negative 
238,30,Male,Married,Self Employeed,More than 50000,Graduate,6,12.9967,77.7582,560067,Yes,Positive
239,24,Female,Married,Employee,25001 to 50000,Post Graduate,2,12.957,77.5637,560018,Yes,Negative 
240,21,Male,Single,Student,No Income,Graduate,2,12.957,77.5637,560018,No,Negative 
241,23,Female,Prefer not to say,Employee,10001 to 25000,Graduate,3,12.9889,77.5741,560020,No,Negative 
242,25,Male,Married,Self Employeed,More than 50000,Post Graduate,4,13.0206,77.6479,560043,Yes,Positive
243,24,Female,Single,Employee,25001 to 50000,Graduate,2,12.8893,77.6399,560068,Yes,Positive
244,26,Male,Married,Employee,10001 to 25000,Graduate,3,12.8893,77.6399,560068,No,Negative 
245,25,Female,Single,Employee,25001 to 50000,Post Graduate,2,12.9967,77.7582,560067,Yes,Positive
246,22,Male,Single,Student,25001 to 50000,Graduate,3,12.9783,77.6408,560038,Yes,Positive
247,26,Female,Single,Employee,25001 to 50000,Post Graduate,2,12.9783,77.6408,560038,Yes,Positive
248,23,Male,Single,Employee,10001 to 25000,Graduate,2,12.9925,77.5633,560021,Yes,Positive
249,21,Female,Single,Employee,Below Rs.10000,Graduate,2,12.9925,77.5633,560021,No,Negative 
250,25,Male,Married,Self Employeed,25001 to 50000,Graduate,3,12.9561,77.5921,560027,Yes,Positive
251,24,Female,Married,Employee,10001 to 25000,Post Graduate,2,12.9561,77.5921,560027,Yes,Positive
252,22,Male,Married,Student,No Income,Graduate,2,13.0734,77.5464,560014,Yes,Positive
253,24,Male,Married,Employee,More than 50000,Post Graduate,3,12.9515,77.4921,560056,Yes,Positive
254,22,Female,Single,Student,No Income,Graduate,2,12.9515,77.4921,560056,Yes,Positive
255,30,Male,Married,Employee,More than 50000,Graduate,5,12.9719,77.5128,560072,No,Negative 
256,23,Female,Prefer not to say,Employee,10001 to 25000,Graduate,4,12.9048,77.6821,560036,Yes,Positive
257,19,Male,Single,Student,No Income,Graduate,6,12.9048,77.6821,560036,Yes,Positive
258,21,Female,Single,Student,No Income,Graduate,2,13.0103,77.5796,560080,Yes,Positive
259,23,Male,Single,Student,No Income,Graduate,4,13.0103,77.5796,560080,Yes,Positive
260,24,Female,Single,Employee,25001 to 50000,Graduate,3,12.8893,77.6399,560068,Yes,Positive
261,26,Female,Married,Employee,10001 to 25000,Post Graduate,2,12.9828,77.6131,560042,No,Positive
262,26,Female,Single,Student,No Income,Ph.D,2,12.9757,77.5586,560023,Yes,Positive
263,25,Female,Single,Student,10001 to 25000,Graduate,2,12.9757,77.5586,560023,Yes,Positive
264,28,Female,Married,Employee,25001 to 50000,Graduate,5,12.9757,77.5586,560023,No,Negative 
265,25,Female,Single,Student,No Income,Post Graduate,3,13.0734,77.5464,560014,Yes,Positive
266,20,Female,Single,Student,No Income,Graduate,2,13.0734,77.5464,560014,Yes,Positive
267,27,Female,Married,Self Employeed,More than 50000,Graduate,6,13.0734,77.5464,560014,No,Positive
268,25,Female,Married,Employee,25001 to 50000,Graduate,3,13.0626,77.5284,560015,No,Positive
269,24,Female,Single,Student,No Income,Post Graduate,5,13.0626,77.5284,560015,No,Negative 
270,25,Female,Married,Employee,More than 50000,Graduate,1,12.977,77.5773,560009,No,Negative 
271,25,Female,Prefer not to say,Employee,25001 to 50000,Post Graduate,3,12.998,77.6227,560005,No,Negative 
272,24,Female,Married,Student,Below Rs.10000,Ph.D,5,13.0626,77.5284,560015,Yes,Positive
273,24,Male,Single,Student,No Income,Post Graduate,3,13.0626,77.5284,560015,Yes,Positive
274,22,Male,Single,Employee,10001 to 25000,Graduate,1,13.0138,77.5877,560006,Yes,Positive
275,28,Male,Single,Employee,25001 to 50000,Post Graduate,2,13.0138,77.5877,560006,No,Negative 
276,25,Female,Single,Employee,More than 50000,Post Graduate,6,13.014,77.5658,560012,No,Negative 
277,21,Male,Married,Employee,More than 50000,Ph.D,3,12.9306,77.5434,560085,Yes,Positive
278,27,Male,Married,Self Employeed,25001 to 50000,Graduate,6,12.9217,77.5936,560041,No,Positive
279,22,Male,Married,Self Employeed,10001 to 25000,School,3,12.982,77.6256,560008,Yes,Negative 
280,29,Female,Married,Employee,25001 to 50000,Graduate,4,12.9783,77.6408,560038,No,Positive
281,21,Male,Single,Student,No Income,Graduate,2,13.0012,77.5995,560046,No,Positive
282,31,Male,Married,Employee,More than 50000,Ph.D,3,12.9306,77.5434,560085,Yes,Positive
283,30,Male,Married,Employee,More than 50000,Post Graduate,6,12.9369,77.6407,560095,Yes,Positive
284,21,Male,Single,Student,No Income,Graduate,3,13.0641,77.5931,560092,Yes,Negative 
285,23,Male,Single,Student,Below Rs.10000,Post Graduate,2,12.977,77.5773,560009,Yes,Positive
